jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Openings for Devops Engineer,Sun Technology Integrators Private Limited,Bengaluru/Bangalore,6-9years,Not Specified,"This full-stack developer will be working within a DevOps Agile/Kanban team. Responsibilities also include application architecture, development, packaging and promotion to all environments including supporting production deployment.",DevopsEngineer|Docker|Git|Svn|Puppet|Terraform|Soapui|
DevOps Engineer,SpinFin Interactive Solutions LLP,Bengaluru/Bangalore,2-6years,600000 - 1200000 INR,"We are looking for an experienced DevOps Engineer for our enterprise tools team that implements CI/CD pipelines to design, build and test secure, scalable, stable and efficient cloud-based applications.",Chef|AwsCloud|Azure|Ansible|Puppet|Python|Powershell|Jenkins|Devops|
VP -.net fullstack,Ifintalent Global Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,6-16years,Not Specified,•	This position will be responsible for full-stack development which can include developing enhancements or resolving bugs in existing Products.,Terrafrom|.NET|ASP.NET|C#|VB.Net|Ansible|Puppet|
Senior Software Developer,Search Agency Performance Marketing India Private Limited,Bengaluru/Bangalore,3-8years,Not Specified,"The Senior Software Developer will be developing high degree of autonomy, building tools and solutions for a wide range of business problems. The individual will work in close coordination with our London based teams in a fast-growing segment.",Chef|Salt|SoftwareDeveloper|Redis|amazondynamodb|MySQL|PostgreSQL|MongoDB|amazonsimpledb|Puppet|Jenkins|Puppet|Hadoop|Redshift|Coffeescript|Git|
AZURE INFRA - TECHNICAL ARCHITECT,Best infosystems Ltd,Bengaluru/Bangalore,9-15years,Not Specified,"Cloud Migration Experience on DC to Public Cloud (Azure, AWS or GCP)",AzureInfra|CloudMigration|Azure|AWS|Gcp|Arm|Terraform|Ansible|Puppet|Cloud|
AZURE INFRA - TECHNICAL ARCHITECT,Best infosystems Ltd,Bengaluru/Bangalore,10-15years,Not Specified,"Cloud Migration Experience on DC to Public Cloud (Azure, AWS or GCP)",AzureInfra|CloudMigration|Azure|AWS|Gcp|Arm|Terraform|Ansible|Puppet|Cloud|
AZURE INFRA - TECHNICAL ARCHITECT,Best infosystems Ltd,Bengaluru/Bangalore,10-15years,Not Specified,"Cloud Migration Experience on DC to Public Cloud (Azure, AWS or GCP)",AzureInfra|CloudMigration|Azure|AWS|Gcp|Arm|Terraform|Ansible|Puppet|Cloud|
Sr. Cloud Engineer (Infra/DevOps),SnapHunt Pte Ltd,Mumbai,5-12years,Not Specified,You will be playing a key role in client project delivery to help see client engagements through a commercially successful conclusion.,ProjectManagement|AWS|CloudComputing|Azure|Puppet|Ansible|Paas|Hybrid|Powershell|MicrosoftAzure|
DevSecOps Engineer / DevOps Engineer (Chef / Puppet / Ansible / Azure / AWS),Provance Business Consulting Private Limited,Chennai,7-15years,Not Specified,A Great opportunity for DevSecOps Engineer / DevOps Engineer (Chef / Puppet / Ansible / Azure / AWS) in CHENNAI. Contact Ms.Minaz - 7204590575.,DevSecOpsEngineer|Chef|DevopsEngineer|Puppet|Ansible|Azure|AWS|SoftwareEngineer|softwaredeveloper|
Role : Cloud Solution Architect - Azure Infrastructure,Kovan Technology Solutions Llc,Chennai|Mumbai,9-15years,1010000 - 2500000 INR,"Role : Cloud Solution Architect - Azure Infrastructure |  Locations: Chennai/Mumbai/Pune |  Fulltime Position |  key resources and infusing key Infrastructure technologies (e.g., PaaS, Iaas, AKs, Security, Networking, etc.), and Application Development",CloudSolutionArchitect|AzureInfrastructure|Serverless|Spinnaker|AzureforDevOps|Chef|Paas|ApiManagement|Jenkins|Puppet|
