jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Technical Support Engineer,Quess IT Staffing (Formerly known as Magna Infotech),Bengaluru/Bangalore|Hyderabad/Secunderabad,2-4years,Not Specified,L2 Technical Support,CustomerSupportExecutive|TechnicalSupportExecutive|TechnicalSupportEngineer|TechnicalSupportOfficer|TechSupport|TechnicalSupportRepresentative|
Technical Support Engineer / Tech Support Engineer / Technical Support,Parahit Technologies Limited,Delhi,2-5years,320000 - 440000 INR,We are looking for high performing and independent Technical Support Engineer.,Dialer|Linux|Windows|Networking|
Technical Support Engineer / Tech Support / Technical Support Executive / TSE,Parahit Technologies Limited,Kozhikode/Calicut,2-5years,Not Specified,Looking for Technical Support Engineer,Linux|Centos|Windows|TechnicalSupport|
Technical Support Engineer / Technical voice process jobs,Jobs Expert Private Limited,Gurgaon/Gurugram|Pune,1-9years,300000 - 560000 INR,Openings for Technical Support voice process |   |  Skype interviews |  CTC - 5.6 lpa + incentives |   |  Sam-9999300435,TSR|Helpdesk|CustomerSupport|Activedirectory|AD|RemoteSupport|Desktopsupport|TechnicalSupport|SystemAdmin|SystemAdmin|Dns|DHCP|Fsmo|Imap|Pop3|IpConfiguration|Exchange|Citrix|ExchangeServer|
Application Support Engineer (Technical Support),ThinkApps Solutions Private Limited,Ahmedabad|Mumbai,1-4years,Not Specified,|  Application Support Engineer (Technical Support) -  Mumbai/Ahmedabad /Gangtok/Lucknow/Guwahati/Thiruvananthapuram/Shimla/Jammu/Chandigarh/Bhopal,ApplicationSupport|
Technical Support Engineer,Whitehr Consultancy Services,Pune,0-3years,180000 - 350000 INR,urgent required technical support freshers and experience candidates. |           |      MNC company on roll  |,HardwareNetworkingMale|HardwareAndNetworking|NetworkEngineer|SystemAdministrator|NetworkAdministrator|
Technical Support Engineer,Riju Karan (Proprietor Of Toyota Climax India),Surat,1-5years,250000 - 450000 INR,Requirement for the post of Technical Support Engineer.,DesktopSupportEngineer|TSR|TechnicalSupportEngineer|CustomerSupportEngineer|TechnicalSupportExecutive|Techsupport|DesktopEngineer|TechnicalSupportRepresentative|
Technical Support Engineer,Subrata Mondal (Proprietor Of Cafe Industry),Bhopal,1-5years,240000 - 420000 INR,Role: Technical Support Engineer,CustomerSupport|Emai|lPhone|Hindi|Troubleshooting|NetworkConfiguration|TechnicalSupport|
Technical Support Engineer Desktop Support,Roundworld Immigration Private Limited,Delhi,1-4years,150000 - 200000 INR,"The Support Analyst is responsible for providing support to server infrastructure, LAN WAN networks and VMWare by answering questions or resolving problems in person, via telephone or from a remote location.",Fmsengineer|DesktopSupportEngineer|Hardwareengineer|Hardwarenetworkingmale|DesktopEngineer|Desktopsupport|CustomerSupportEngineer|NetworkEngineer|ITSupport|
Hiring for Networking Voice SUPPORT- GRAD Freshers - 16K to 22K - Call 9960920092,Sky Scrapper Consulting,Pune,0-5years,Not Specified,Technical Support VOICE process,Virginmedia|concentrix|Wipro|Troubleshooting|Voice|internationalvoiceprocess|Technicalsupport|techsupport|desktopsupport|ApplicationSupport|
Hiring for Networking Voice SUPPORT- GRAD Freshers - 16K to 22K - Call 8237076800,Sky Scrapper Consulting,Pune,0-5years,Not Specified,Technical Support VOICE process,Virginmedia|concentrix|Wipro|Troubleshooting|Voice|internationalvoiceprocess|Technicalsupport|techsupport|desktopsupport|ApplicationSupport|
Hiring for Technical SUPPORT- GRAD Freshers - 16K - Call 8237076800,Sky Scrapper Consulting,Pune,0-5years,Not Specified,Technical Support VOICE process,Virginmedia|concentrix|Wipro|Troubleshooting|Voice|internationalvoiceprocess|Technicalsupport|techsupport|desktopsupport|ApplicationSupport|
Technical Support Engineer,CSS Corp Private Limited,Chennai,0-5years,Not Specified,Looking for Hindi speaking candidate with technical knowledge in Networking and troubleshooting . |  willing to work in both day and Night shift. Immediate joiner are required . |  work from Home till Jan 2021. |  candidate should be good in Hindi .,TechnicalSupportEngineer|TechnicalSupportExecutive|
Technical Support Engineer,US Tech Solutions Private Limited,Hyderabad/Secunderabad|Noida,2-7years,Not Specified,General Details |   |  • Title – Technical Support Engineer |  • Timings – Rotational Shift per business requirement. |  • Cab & Meals – Provided for night shift,ActiveDirectory|Window|DnsServer|DhcpServer|RemoteAccess|Windowsadmin|Citrix|Vmware|
