jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Branch Sales Manager- Overseas - (Chandigarh),I Tech Solutions,Chandigarh,4-7years,600000 - 700000 INR,|   |  Ensure the target set is achieved. Motivate and monitor the team performance. Endeavour to make Avanse a brand of first choice within our customer segment in his respective branch.,CommunicationSkill|Relationship|TeamHandling|ChannelManagementShareJobLinkonSocialMedia|
Branch Sales Manager- Overseas - (Mumbai),Vazir Immigration Services LLC,Mumbai,4-7years,600000 - 700000 INR,|   |  Ensure the target set is achieved. Motivate and monitor the team performance. Endeavour to make Avanse a brand of first choice within our customer segment in his respective branch.,CommunicationSkill|Relationship|TeamHandling|ChannelManagement|
Branch Sales Manager- Overseas - (Delhi),Shyamal HR Services,Delhi,4-7years,600000 - 700000 INR,|  Ensure the target set is achieved. Motivate and monitor the team performance. Endeavour to make Avanse a brand of first choice within our customer segment in his respective branch.,CommunicationSkill|Relationship|TeamHandling|ChannelManagementShareJobLinkonSocialMedia|
Branch Sales Manager- Overseas - (Hyderabad),Global Colliance LLP,Hyderabad/Secunderabad,6-7years,600000 - 700000 INR,|   |  Ensure the target set is achieved. Motivate and monitor the team performance. Endeavour to make Avanse a brand of first choice within our customer segment in his respective branch.,CommunicationSkill|Relationship|TeamHandling|ChannelManagementShareJobLinkonSocialMedia|
Branch Sales Manager- Overseas - (Pune),Cloud Visa Immigration LLP,Pune,4-7years,600000 - 700000 INR,|   |  Ensure the target set is achieved. Motivate and monitor the team performance. Endeavour to make Avanse a brand of first choice within our customer segment in his respective branch.,CommunicationSkill|Relationship|TeamHandling|ChannelManagementShareJobLinkonSocialMedia|
Branch Sales Manager- Overseas - (Kolkata),I Tech Solutions,Kolkata,6-7years,600000 - 700000 INR,|   |  Ensure the target set is achieved. Motivate and monitor the team performance. Endeavour to make Avanse a brand of first choice within our customer segment in his respective branch.,CommunicationSkill|Relationship|TeamHandling|ChannelManagementShareJobLinkonSocialMedia|
Branch Sales Manager- Overseas - (Mumbai),Shyamal HR Services,Mumbai,4-7years,600000 - 700000 INR,|   |  Ensure the target set is achieved. Motivate and monitor the team performance. Endeavour to make Avanse a brand of first choice within our customer segment in his respective branch. |,CommunicationSkill|Relationship|TeamHandling|ChannelManagement|
Branch Sales Manager,Shyamal HR Services,Ahmedabad|Pune,1-3years,Not Specified,"Job Location: Aundh, Pune |    |   Role: Branch Sales Manager |    |   Job Location: Shivranjini, Ahmedabad |    |   Role: Branch Sales Manager |    |    |",businesstobusiness|B2b|business2business|BranchSalesManager|AssistantSalesManager|SalesManager|SalesDevelopmentManager|
"Agency Manager,Unit Manager ,Senior Agency Manager, Branch/ Sr. Branch Manager,- Any Sales",Shyamal HR Services,Mumbai|MumbaiCity|NaviMumbai|Thane,0-5years,Not Specified,"Agency Manager,Unit Manager ,Senior Agency Manager, Branch/ Sr. Branch Manager,- Any Sales",SalesOfficer|Marketing|Relationshipmanager|Selling|Sales|Insurance|DirectSales|AccountManager|BD|Bde|Bdm|
Immigration / Sales Branch Manager,I Tech Solutions,Chandigarh,2-6years,Not Specified,Looking for Immigration / Sales Branch Manager,SalesImmigration|SalesImmigrationmanager|SalesImmigration|ImmigrationConsultant|SalesImmigrationconsultant|Immigrationspecialist|ClientService|
